model,state_class,state_label,precision,recall,f1,support
advancedV3_physics_fusion,10,D40_S00,0.8400652794777642,0.6858760826115923,0.755180634513112,3002
advancedV3_physics_fusion,11,D40_S10,0.5329970575872215,0.8447701532311792,0.6536082474226804,3002
advancedV3_physics_fusion,12,D40_S20,0.4828239753612888,0.6788807461692206,0.5643084590890212,3002
advancedV3_physics_fusion,13,D40_S30,0.819352991697681,0.7332820906994619,0.7739318550567874,3903
advancedV3_physics_fusion,14,D40_S40,0.6591435185185185,0.7588274483677548,0.70548157324249,3002
advancedV3_physics_fusion,15,D60_S00,0.9584278155706727,0.8447701532311792,0.8980169971671388,3002
advancedV3_physics_fusion,16,D60_S10,0.5744265495363592,0.3920719520319787,0.4660463274599089,3002
advancedV3_physics_fusion,17,D60_S20,0.8776328986960883,0.44337471497339753,0.5891264096953375,3947
advancedV3_physics_fusion,18,D60_S30,0.6679245283018868,0.35376415722851434,0.4625435540069686,3002
advancedV3_physics_fusion,19,D60_S40,0.7380867072733788,0.6862091938707529,0.7112031762471949,3002
advancedV3_physics_fusion,20,D80_S00,0.9561567164179104,0.7872503840245776,0.8635214827295703,2604
advancedV3_physics_fusion,21,D80_S10,0.7838499184339315,0.9841269841269841,0.872644721906924,3906
advancedV3_physics_fusion,22,D80_S20,0.862674793832915,0.923963133640553,0.8922677544965696,2604
advancedV3_physics_fusion,23,D80_S30,0.48324845885821494,0.6923963133640553,0.5692186266771903,2604
advancedV3_physics_fusion,24,D80_S40,0.8433333333333334,0.09715821812596007,0.17424242424242425,2604
