model,source_file,segment_index,num_windows,damage_accuracy,stress_accuracy,multitask_state_accuracy,state_head_accuracy,state_head_macro_f1,mean_state_confidence
advancedV2_cnn_bilstm,VTEST_S00.csv,2,1501,0.46768820786142573,0.7508327781479014,0.27181878747501664,0.7028647568287808,0.20637715179968702,0.6345614194869995
advancedV2_cnn_bilstm,VTEST_S00.csv,3,1501,0.9347101932045303,0.9906728847435043,0.9347101932045303,0.9487008660892738,0.24341880341880343,0.8313349485397339
advancedV2_cnn_bilstm,VTEST_S00.csv,4,1501,0.8121252498334444,0.519653564290473,0.44503664223850764,0.7714856762158561,0.14516735614892817,0.6064390540122986
advancedV2_cnn_bilstm,VTEST_S00_1.csv,0,1402,1.0,0.9008559201141226,0.9008559201141226,0.8922967189728959,0.471541650961176,0.8927729725837708
advancedV2_cnn_bilstm,VTEST_S00_1.csv,1,1501,0.9153897401732178,1.0,0.9153897401732178,0.8867421718854097,0.3133239171374765,0.9635476469993591
advancedV2_cnn_bilstm,VTEST_S00_1.csv,2,1501,0.33377748167888077,0.7475016655562958,0.24850099933377748,0.5289806795469687,0.17298474945533768,0.6810435056686401
advancedV2_cnn_bilstm,VTEST_S00_1.csv,3,1501,0.6375749500333111,0.7688207861425717,0.6075949367088608,0.6249167221852099,0.08546307685299076,0.7523406147956848
advancedV2_cnn_bilstm,VTEST_S00_1.csv,4,1501,0.6708860759493671,0.8647568287808128,0.570286475682878,0.7181878747501665,0.16719658782473829,0.6252144575119019
advancedV2_cnn_bilstm,VTEST_S10.csv,0,1402,1.0,0.9714693295292439,0.9714693295292439,0.9258202567760342,0.48074074074074075,0.8678880333900452
advancedV2_cnn_bilstm,VTEST_S10.csv,1,1501,0.39706862091938705,0.9260493004663558,0.3870752831445703,0.7001998667554963,0.13727795193312434,0.592612087726593
advancedV2_cnn_bilstm,VTEST_S10.csv,2,1501,0.7295136575616256,0.6975349766822119,0.6022651565622918,0.4756828780812791,0.08058690744920993,0.5329176187515259
advancedV2_cnn_bilstm,VTEST_S10.csv,3,1501,0.8194536975349767,0.7728181212524984,0.6675549633577615,0.7188540972684877,0.11949058693244739,0.6556976437568665
advancedV2_cnn_bilstm,VTEST_S10.csv,4,1501,0.3944037308461026,0.47168554297135246,0.3510992671552298,0.5169886742171885,0.17039964866051824,0.7578089833259583
advancedV2_cnn_bilstm,VTEST_S10_1.csv,0,1402,1.0,0.8430813124108416,0.8430813124108416,0.7931526390870185,0.2211614956245028,0.8674701452255249
advancedV2_cnn_bilstm,VTEST_S10_1.csv,1,1501,0.18520986009327114,0.9793471019320453,0.1765489673550966,0.5889407061958695,0.14825995807127884,0.5705125331878662
advancedV2_cnn_bilstm,VTEST_S10_1.csv,2,1501,0.6828780812791473,0.7028647568287808,0.5916055962691539,0.4643570952698201,0.09060184583387496,0.5847777724266052
advancedV2_cnn_bilstm,VTEST_S10_1.csv,3,1501,0.4170552964690207,0.9247168554297135,0.40639573617588276,0.5276482345103265,0.1151330135194069,0.6189614534378052
advancedV2_cnn_bilstm,VTEST_S10_1.csv,4,1501,0.3930712858094604,0.3264490339773484,0.27714856762158563,0.6029313790806129,0.15045719035743974,0.6835348606109619
advancedV2_cnn_bilstm,VTEST_S20.csv,0,1402,0.9978601997146933,0.9828815977175464,0.9828815977175464,0.9586305278174037,0.3262927895120175,0.962160050868988
advancedV2_cnn_bilstm,VTEST_S20.csv,1,1501,0.4536975349766822,0.7648234510326449,0.4230512991339107,0.6502331778814124,0.0985062575696407,0.7052159905433655
advancedV2_cnn_bilstm,VTEST_S20.csv,2,1501,0.7441705529646903,0.9673550966022652,0.7181878747501665,0.7408394403730846,0.1702257941063911,0.7350267171859741
advancedV2_cnn_bilstm,VTEST_S20.csv,3,1501,0.9513657561625583,0.9560293137908061,0.9253830779480346,0.9573617588274483,0.19564329475833903,0.8646755218505859
advancedV2_cnn_bilstm,VTEST_S20.csv,4,1501,0.6075949367088608,0.2911392405063291,0.2678214523650899,0.3284477015323118,0.1236208625877633,0.7296140789985657
advancedV2_cnn_bilstm,VTEST_S20_1.csv,0,1402,0.985021398002853,0.9507845934379457,0.9507845934379457,0.9728958630527818,0.3287539166064112,0.9383682608604431
advancedV2_cnn_bilstm,VTEST_S20_1.csv,1,1501,0.4170552964690207,0.5982678214523651,0.4157228514323784,0.54763491005996,0.0786339503515569,0.6997394561767578
advancedV2_cnn_bilstm,VTEST_S20_1.csv,2,1501,0.42571618920719523,0.9620253164556962,0.42571618920719523,0.519653564290473,0.09770150936306131,0.7506027221679688
advancedV2_cnn_bilstm,VTEST_S20_1.csv,3,1501,0.5936042638241172,0.8840772818121253,0.5449700199866756,0.45502998001332445,0.08935112506541078,0.7545166611671448
advancedV2_cnn_bilstm,VTEST_S20_1.csv,4,1501,0.7768154563624251,0.3324450366422385,0.32978014656895405,0.3930712858094604,0.1128646580583453,0.726134181022644
advancedV2_cnn_bilstm,VTEST_S30.csv,0,1402,0.8587731811697575,0.9379457917261056,0.8587731811697575,0.9029957203994294,0.15817091454272864,0.8843085765838623
advancedV2_cnn_bilstm,VTEST_S30.csv,1,1501,0.4996668887408394,0.4770153231179214,0.4217188540972685,0.4670219853431046,0.12733878292461398,0.7127035856246948
advancedV2_cnn_bilstm,VTEST_S30.csv,2,1501,0.9626915389740173,0.9626915389740173,0.9313790806129247,0.9307128580946036,0.1928226363008972,0.7456616759300232
advancedV2_cnn_bilstm,VTEST_S30.csv,3,1501,0.7255163224516988,0.978014656895403,0.7215189873417721,0.5662891405729513,0.18077413866439812,0.6161591410636902
advancedV2_cnn_bilstm,VTEST_S30.csv,4,1501,0.988674217188541,0.9320453031312458,0.9207195203197868,0.9573617588274483,0.24455411844792377,0.9204052090644836
advancedV2_cnn_bilstm,VTEST_S30_1.csv,0,1402,0.6105563480741797,0.760342368045649,0.594151212553495,0.6362339514978602,0.11109727238759497,0.8032017350196838
advancedV2_cnn_bilstm,VTEST_S30_1.csv,1,1501,0.1252498334443704,0.18054630246502332,0.0866089273817455,0.12924716855429713,0.03815142576204523,0.8057603240013123
advancedV2_cnn_bilstm,VTEST_S30_1.csv,2,1501,0.843437708194537,0.9400399733510992,0.8387741505662891,0.8481012658227848,0.13111545988258316,0.6903334259986877
advancedV2_cnn_bilstm,VTEST_S30_1.csv,3,1501,0.8387741505662891,0.9393737508327782,0.8034643570952699,0.5629580279813458,0.12006251776072747,0.5963575839996338
advancedV2_cnn_bilstm,VTEST_S30_1.csv,4,1501,0.7574950033311126,0.9367088607594937,0.7561625582944703,0.759493670886076,0.1726618705035971,0.8465609550476074
advancedV2_cnn_bilstm,VTEST_S40.csv,0,1402,0.028530670470756064,0.0021398002853067048,0.0,0.0,0.0,0.819831371307373
advancedV2_cnn_bilstm,VTEST_S40.csv,1,1501,0.4843437708194537,0.9686875416389074,0.4843437708194537,0.6295802798134577,0.12878168438266557,0.7125366926193237
advancedV2_cnn_bilstm,VTEST_S40.csv,2,1501,0.9187208527648234,1.0,0.9187208527648234,0.8847435043304464,0.31294921644868623,0.693662703037262
advancedV2_cnn_bilstm,VTEST_S40.csv,3,1501,0.8867421718854097,1.0,0.8867421718854097,0.9293804130579614,0.32113259668508287,0.7491434812545776
advancedV2_cnn_bilstm,VTEST_S40.csv,4,1501,0.9840106595602931,1.0,0.9840106595602931,0.9806795469686875,0.4951227716111672,0.9238934516906738
advancedV2_cnn_bilstm,VTEST_S40_1.csv,0,1402,0.0042796005706134095,0.0,0.0,0.0,0.0,0.815558135509491
advancedV2_cnn_bilstm,VTEST_S40_1.csv,1,1501,0.5949367088607594,0.8394403730846103,0.5936042638241172,0.7388407728181212,0.12140120415982485,0.7066554427146912
advancedV2_cnn_bilstm,VTEST_S40_1.csv,2,1501,0.832111925383078,0.9826782145236509,0.8227848101265823,0.676215856095936,0.13447270800211977,0.6893912553787231
advancedV2_cnn_bilstm,VTEST_S40_1.csv,3,1501,0.8294470353097935,0.9846768820786143,0.826782145236509,0.8620919387075283,0.1543231961836613,0.7215726375579834
advancedV2_cnn_bilstm,VTEST_S40_1.csv,4,1501,0.9713524317121919,1.0,0.9713524317121919,0.955363091272485,0.4885860306643952,0.8923733234405518
advancedV2_cnn_bilstm,VTEST_S99.csv,0,1402,1.0,0.9714693295292439,0.9714693295292439,0.9258202567760342,0.48074074074074075,0.8678880333900452
advancedV2_cnn_bilstm,VTEST_S99.csv,1,945,0.5576719576719577,0.7873015873015873,0.508994708994709,0.6433862433862434,0.0978750804893754,0.7229448556900024
advancedV2_cnn_bilstm,VTEST_S99.csv,2,901,0.9411764705882353,0.9056603773584906,0.904550499445061,0.9078801331853497,0.1903432228039558,0.7126070857048035
advancedV2_cnn_bilstm,VTEST_S99.csv,3,1665,0.6936936936936937,0.9459459459459459,0.69009009009009,0.5519519519519519,0.18253466275218583,0.6417996883392334
advancedV2_cnn_bilstm,VTEST_S99.csv,4,2493,0.9695146409947853,0.9667067789811472,0.9362214199759326,0.9530685920577617,0.38989202602105827,0.9171921610832214
advancedV3_physics_fusion,VTEST_S00.csv,0,1302,1.0,0.7043010752688172,0.7043010752688172,0.7342549923195084,0.42338352524357836,0.9412526488304138
advancedV3_physics_fusion,VTEST_S00.csv,1,1501,0.9340439706862091,0.894070619586942,0.8674217188540972,0.8674217188540972,0.2322511594719943,0.985493540763855
advancedV3_physics_fusion,VTEST_S00.csv,2,1501,0.9060626249167222,0.944037308461026,0.8834110592938041,0.9327115256495669,0.321728139721935,0.9396832585334778
advancedV3_physics_fusion,VTEST_S00.csv,3,1501,0.7728181212524984,0.7841439040639574,0.7381745502998002,0.7554963357761493,0.14345351043643265,0.9438381195068359
advancedV3_physics_fusion,VTEST_S00.csv,4,1501,0.9293804130579614,0.8694203864090606,0.8341105929380414,0.9253830779480346,0.2403114186851211,0.9361125826835632
advancedV3_physics_fusion,VTEST_S00_1.csv,0,1302,1.0,0.8348694316436251,0.8348694316436251,0.8402457757296466,0.4565943238731219,0.9551618695259094
advancedV3_physics_fusion,VTEST_S00_1.csv,1,1501,0.9240506329113924,0.9193870752831446,0.8727514990006662,0.8221185876082612,0.18047531992687388,0.9665270447731018
advancedV3_physics_fusion,VTEST_S00_1.csv,2,1501,0.46568954030646237,0.6442371752165224,0.4223850766155896,0.4390406395736176,0.08716931216931216,0.9060092568397522
