n_points,outlier_count,outlier_ratio,raw_total_variation,fitted_total_variation,raw_max_adjacent_jump,fitted_max_adjacent_jump,raw_roughness,fitted_roughness,high_confidence_mae,peak_retention,overshoot,model,source_file,experiment_id,target,method,runtime_seconds
7402,58,0.007835720075655228,1800.0,948.6984126984149,20.0,9.541125541125531,8.783783783783784,0.2917536167752612,0.01616921090605708,0.9825635483138856,False,advancedV2_cnn_bilstm,VTEST_S10.csv,VTEST_S10,stress,hampel+savgol,32.21479769994039
7402,108,0.01459065117535801,15120.0,5636.848484848495,80.0,69.54112554112554,419.35135135135135,18.095885961859985,0.023617358251527987,0.9820973806564325,False,advancedV2_cnn_bilstm,VTEST_S10_1.csv,VTEST_S10,damage,hampel+savgol,32.21479769994039
7402,87,0.011753580113482842,3080.0,1380.3549783549809,20.0,12.865800865800846,17.16216216216216,0.7592535398163085,0.0008432759652309386,0.9771605487358905,False,advancedV2_cnn_bilstm,VTEST_S10_1.csv,VTEST_S10,stress,hampel+savgol,32.21479769994039
7407,8,0.0010800594032671796,560.0,460.60606060606113,40.0,34.04329004329004,3.9972991222147196,0.5519249335952097,0.012034632034643156,0.9989303477775323,False,advancedV2_cnn_bilstm,VTEST_S10_BH01.csv,VTEST_S10_BH01,damage,hampel+savgol,32.21479769994039
7407,3,0.0004050222762251924,120.0,44.56565656565692,20.0,8.51082251082251,0.9182984469952734,0.022481990404682163,0.0014285714285773787,0.9999953913523012,False,advancedV2_cnn_bilstm,VTEST_S10_BH01.csv,VTEST_S10_BH01,stress,hampel+savgol,32.21479769994039
7402,61,0.008241015941637396,10720.0,5168.230880230885,80.0,69.54112554112554,276.3243243243243,38.5222564713474,0.3407415061990471,0.9945197979506755,False,advancedV2_cnn_bilstm,VTEST_S20.csv,VTEST_S20,damage,hampel+savgol,32.21479769994039
7402,68,0.009186706295595785,2100.0,1034.2077922077974,20.0,9.541125541125535,9.64864864864865,0.4026439077521317,0.0057034522281491215,0.9881446720102177,False,advancedV2_cnn_bilstm,VTEST_S20.csv,VTEST_S20,stress,hampel+savgol,32.21479769994039
7402,108,0.01459065117535801,14000.0,6305.950937950942,80.0,68.08658008658008,329.6216216216216,39.13528080506437,0.49971064023697187,0.9865779645191408,False,advancedV2_cnn_bilstm,VTEST_S20_1.csv,VTEST_S20,damage,hampel+savgol,32.21479769994039
7402,66,0.008916509051607674,2380.0,1177.5988455988506,20.0,9.541125541125535,13.64864864864865,0.40091330719036283,0.001586921850086454,0.984661410612967,False,advancedV2_cnn_bilstm,VTEST_S20_1.csv,VTEST_S20,stress,hampel+savgol,32.21479769994039
7402,40,0.0054039448797622265,4020.0,2362.776334776338,80.0,68.08658008658008,67.29729729729729,4.832944869308505,0.010900640412637148,0.9987452515252674,False,advancedV2_cnn_bilstm,VTEST_S30.csv,VTEST_S30,damage,hampel+savgol,32.21479769994039
